"name","value","box"
"Beta",6.51,"01"
"lambdaM",1000,"01"
"lambdaE",1000,"01"
"sigmaR",0.75,"01"
"sigmaW",0.75,"01"
"sigmaN",0.75,"01"
"alphan",0.999999999999982,"01"
"sigman",2.40277271032468e-14,"01"
"alphar",1,"01"
"sigmar",0.174004670381398,"01"
"alphaw",0.99966975962484,"01"
"sigmaw",4.85803229935518e-14,"01"
"sigmaRBC",0.101731158452764,"01"
"sigmaRetic",3.36260170280655e-33,"01"
"sigmaPd",3072.17934642707,"01"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.999999999999982,"02"
"sigman",2.40277271032468e-14,"02"
"alphar",1,"02"
"sigmar",0.174004670381398,"02"
"alphaw",0.99966975962484,"02"
"sigmaw",4.85803229935518e-14,"02"
"sigmaRBC",0.101731158452764,"02"
"sigmaRetic",3.36260170280655e-33,"02"
"sigmaPd",3072.17934642707,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.999999999999982,"03"
"sigman",2.40277271032468e-14,"03"
"alphar",1,"03"
"sigmar",0.174004670381398,"03"
"alphaw",0.99966975962484,"03"
"sigmaw",4.85803229935518e-14,"03"
"sigmaRBC",0.101731158452764,"03"
"sigmaRetic",3.36260170280655e-33,"03"
"sigmaPd",3072.17934642707,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.999999999999982,"04"
"sigman",2.40277271032468e-14,"04"
"alphar",1,"04"
"sigmar",0.174004670381398,"04"
"alphaw",0.99966975962484,"04"
"sigmaw",4.85803229935518e-14,"04"
"sigmaRBC",0.101731158452764,"04"
"sigmaRetic",3.36260170280655e-33,"04"
"sigmaPd",3072.17934642707,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"sigmaN",0.75,"05"
"alphan",0.999999999999982,"05"
"sigman",2.40277271032468e-14,"05"
"alphar",1,"05"
"sigmar",0.174004670381398,"05"
"sigmaRBC",0.101731158452764,"05"
"sigmaRetic",3.36260170280655e-33,"05"
