"name","value","box"
"Beta",6.51,"01"
"lambdaM",1000,"01"
"lambdaE",1000,"01"
"sigmaR",0.75,"01"
"sigmaW",0.75,"01"
"sigmaN",0.75,"01"
"alphan",0.999994258317054,"01"
"sigman",5.87117383459232e-14,"01"
"alphar",0.746567723285907,"01"
"sigmar",0.120098687147543,"01"
"alphaw",0.999999950734139,"01"
"sigmaw",0.235959524942867,"01"
"sigmaRBC",0.0212858407888269,"01"
"sigmaRetic",0.000220123632582966,"01"
"sigmaPd",2.61015841961005,"01"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.999994258317054,"02"
"sigman",5.87117383459232e-14,"02"
"alphar",0.746567723285907,"02"
"sigmar",0.120098687147543,"02"
"alphaw",0.999999950734139,"02"
"sigmaw",0.235959524942867,"02"
"sigmaRBC",0.0212858407888269,"02"
"sigmaRetic",0.000220123632582966,"02"
"sigmaPd",2.61015841961005,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.999994258317054,"03"
"sigman",5.87117383459232e-14,"03"
"alphar",0.746567723285907,"03"
"sigmar",0.120098687147543,"03"
"alphaw",0.999999950734139,"03"
"sigmaw",0.235959524942867,"03"
"sigmaRBC",0.0212858407888269,"03"
"sigmaRetic",0.000220123632582966,"03"
"sigmaPd",2.61015841961005,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.999994258317054,"04"
"sigman",5.87117383459232e-14,"04"
"alphar",0.746567723285907,"04"
"sigmar",0.120098687147543,"04"
"alphaw",0.999999950734139,"04"
"sigmaw",0.235959524942867,"04"
"sigmaRBC",0.0212858407888269,"04"
"sigmaRetic",0.000220123632582966,"04"
"sigmaPd",2.61015841961005,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"sigmaN",0.75,"05"
"alphan",0.999994258317054,"05"
"sigman",5.87117383459232e-14,"05"
"alphar",0.746567723285907,"05"
"sigmar",0.120098687147543,"05"
"sigmaRBC",0.0212858407888269,"05"
"sigmaRetic",0.000220123632582966,"05"
