"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.999999999512097,"02"
"sigman",0.411889606012727,"02"
"alphar",1,"02"
"sigmar",0.128533834135159,"02"
"alphaw",0.999999915707472,"02"
"sigmaw",9.59201559867656e-15,"02"
"sigmaRBC",1.33033016790292e-18,"02"
"sigmaRetic",2.70452415643819e-22,"02"
"sigmaPd",4.54030332165414,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.999999999512097,"03"
"sigman",0.411889606012727,"03"
"alphar",1,"03"
"sigmar",0.128533834135159,"03"
"alphaw",0.999999915707472,"03"
"sigmaw",9.59201559867656e-15,"03"
"sigmaRBC",1.33033016790292e-18,"03"
"sigmaRetic",2.70452415643819e-22,"03"
"sigmaPd",4.54030332165414,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.999999999512097,"04"
"sigman",0.411889606012727,"04"
"alphar",1,"04"
"sigmar",0.128533834135159,"04"
"alphaw",0.999999915707472,"04"
"sigmaw",9.59201559867656e-15,"04"
"sigmaRBC",1.33033016790292e-18,"04"
"sigmaRetic",2.70452415643819e-22,"04"
"sigmaPd",4.54030332165414,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"sigmaN",0.75,"05"
"alphan",0.5,"05"
"sigman",0.6,"05"
"alphar",1,"05"
"sigmar",0.128533834135159,"05"
"sigmaRBC",1.33033016790292e-18,"05"
"sigmaRetic",2.70452415643819e-22,"05"
